,ES=F,NQ=F,GC=F,CL=F,EURUSD=X,BTC-USD
1999-01-04,,,,,,
1999-01-05,0.0,0.5259421366920641,0.0,0.0,0.0,0.0
1999-01-06,0.0,0.5301565740425456,0.0,0.0,0.0,0.0
1999-01-07,0.0,0.5379866458471982,0.0,0.0,0.0,0.0
1999-01-08,0.0,0.5394286192262541,0.0,0.0,0.0,0.0
1999-01-11,0.0,0.584649645160329,0.0,0.0,0.0,0.0
1999-01-12,0.0,0.6182762032891862,0.0,0.022874340915096623,0.0,0.0
1999-01-13,0.0,0.717587875850556,0.0,0.0,0.0,0.0
1999-01-14,0.0,0.75,0.0,0.0,0.0,0.0
1999-01-15,0.0,0.75,0.0,0.0,0.0,0.0
1999-01-19,0.0,0.75,0.0,0.0,0.0,0.0
1999-01-20,0.0,0.75,0.0,0.0,0.0,0.0
1999-01-21,0.0,0.75,0.0,0.0,0.0,0.0
1999-01-22,0.0,0.75,0.0,0.0,0.0,0.0
1999-01-25,0.0,0.7074981510744728,0.0,0.0,0.0,0.0
1999-01-26,0.0,0.6858332091444064,0.0,0.0,0.0,0.0
1999-01-27,0.0,0.6891685944650859,0.0,0.0,0.0,0.0
1999-01-28,0.0,0.720813018482991,0.0,0.0,0.0,0.0
1999-01-29,0.0,0.732452909352096,0.0,0.0,0.0,0.0
1999-02-01,0.0,0.75,0.0,0.0,0.0,0.0
1999-02-02,0.0,0.75,0.0,0.0,0.0,0.0
1999-02-03,0.0,0.75,0.0,0.0,0.0,0.0
1999-02-04,0.0,0.75,0.0,0.0,0.0,0.0
1999-02-05,0.0,0.141121655334142,0.0,0.0,0.0,0.0
1999-02-08,0.0,0.10048146349628097,0.0,0.0,0.0,0.0
1999-02-09,0.0,0.1288281600801797,0.0,0.0,0.0,0.0
1999-02-10,0.0,0.0662494609747218,0.0,0.0,0.0,0.0
1999-02-11,0.0,0.05999430059790629,0.0,0.0,0.0,0.0
1999-02-12,0.0,0.0668848783757569,0.0,0.0,0.0,0.0
1999-02-16,0.0,0.04553768055533721,0.0,0.0,0.0,0.0
1999-02-17,0.0,0.04397186800988719,0.0,0.0,0.0,0.0
